Textbox25,Textbox26
NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 7/25/2025 8:30:15 PM,"NatureServe Global (G) and State (S) Conservation Status Rank List - NatureServe. 2025. NatureServe Explorer [web application]. NatureServe, Arlington, Virginia. Available https://explorer.natureserve.org/. (Accessed: July 9, 2025). This information is provided by NatureServe (www.natureserve.org) and its network of natural heritage member programs, a leading source of information about rare and endangered species, and threatened ecosystems."

Textbox46,Category1,CategoryGroup,Textbox51,PreferredCommonNames1,OccwTag,Abundance,NatwTags,NPSTags,ParkTags,RefCount,ObsCount,VouCount,ExternalLinkCount,TESS,StateStatuses,Ozone,GRank,SRank1,Textbox52,Textbox1
,Mammals,Rodentia/Sciuridae,Tamias quadrimaculatus,Long-eared Chipmunk,Present,Uncommon,Native,Breeder,,1,1,38,0,,,,,,- Eutamias quadrimaculatus,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias senex,"Allen's Chipmunk, Shadow Chipmunk",Present,Uncommon,Native,Breeder,,1,0,9,0,,,,,,"- Eutamias townsendii senex, Tamias senex senex",Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias speciosus,Lodgepole Chipmunk,Present,Common,Native,Breeder,,1,0,254,0,,,,,,"- Eutamias speciosis frater, Tamias speciosus frater",Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamias umbrinus,Inyo chipmunk,Present,Unknown,Native,,,0,0,0,0,,,,,,- Tamias umbrinus inyoensis,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Tamiasciurus douglasii,chickaree,Present,Common,Native,Breeder,,1,79,29,0,,,,G5,CA: SNR,- Tamiasciurus douglasii albolimbatus,Report Species Count: 2086
,Mammals,Rodentia/Sciuridae,Urocitellus beldingi,Belding's ground squirrel,Present,Common,Native,Breeder,,1,48,49,0,,,,G5,CA: SNR,"- Spermophilus beldingi, Spermophilus beldingi beldingi",Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Accipiter cooperii,Cooper's Hawk,Present,Uncommon,Native,Breeder,,2,52,2,0,SC,CA: WL,,G5,CA: S4,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Accipiter gentilis,Northern Goshawk,Present,Uncommon,Native,Management Priority; Breeder,,3,144,5,0,RT,"CA: S, SSC",,,,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Accipiter striatus,Sharp-shinned Hawk,Present,Rare,Native,Breeder,,3,36,5,0,SC,CA: WL,,G5,CA: S4,- Accipiter striatus velox,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Aquila chrysaetos,Golden Eagle,Present,Uncommon,Native,Breeder,,3,247,4,0,SC,"CA: FP, S, WL",,G5,CA: S3,- Aquila chrysaetos canadensis,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Buteo jamaicensis,Red-tailed Hawk,Present,Common,Native,Breeder,,3,155,0,0,50,,,G5,CA: SNR,- ,Report Species Count: 2086
,Birds,Accipitriformes/Accipitridae,Buteo lagopus,rough-legged hawk,Present,Rare,Native,Migratory,,1,10,0,0,SC,,,G5,CA: SNRN,- ,Report Species Count: 2086
